"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","With Bachelor Degree or Higher","After-Tax Household Income","   Unemployed","Recent Immigrants","High Shelter Costs"
"North Riverdale",68.0,"N/A",11916.0,1.8,5185.0,68164.0,380.0,190.0,1305.0
"Blake-Jones",69.0,"N/A",7727.0,0.9,2435.0,51381.0,345.0,210.0,970.0
"South Riverdale",70.0,"N/A",27876.0,9.6,9420.0,56192.0,1070.0,800.0,3745.0
"Cabbagetown-South St.James Town",71.0,"N/A",11669.0,1.4,5105.0,50873.0,585.0,365.0,2500.0
"Regent Park",72.0,"N/A",10803.0,0.6,3085.0,30794.0,545.0,560.0,1950.0
"Moss Park",73.0,"N/A",20506.0,1.4,8465.0,37295.0,845.0,945.0,4615.0
"North St.James Town",74.0,"N/A",18615.0,0.4,6305.0,31304.0,1125.0,2525.0,4195.0
"Church-Yonge Corridor",75.0,"N/A",31340.0,1.4,16930.0,41813.0,1865.0,1970.0,8890.0
"Bay Street Corridor",76.0,"N/A",25797.0,1.8,15090.0,44614.0,1535.0,2275.0,8520.0
"Waterfront Communities-The Island",77.0,"N/A",65913.0,7.6,41735.0,57670.0,2640.0,4730.0,16500.0
"Kensington-Chinatown",78.0,"N/A",17945.0,1.5,6395.0,37571.0,825.0,840.0,4190.0
"University",79.0,"N/A",7607.0,1.4,3515.0,45538.0,365.0,315.0,1580.0
"Palmerston-Little Italy",80.0,"N/A",13826.0,1.4,6210.0,52309.0,630.0,325.0,2380.0
"Trinity-Bellwoods",81.0,"N/A",16556.0,1.7,5745.0,51502.0,610.0,460.0,2485.0
"Niagara",82.0,"N/A",31180.0,3.1,17025.0,59929.0,1110.0,1405.0,7210.0
"Dufferin Grove",83.0,"N/A",11785.0,1.4,3965.0,44145.0,565.0,480.0,2165.0
"Little Portugal",84.0,"N/A",15559.0,1.2,5840.0,52519.0,685.0,500.0,3130.0
"South Parkdale",85.0,"N/A",21849.0,2.3,5900.0,32539.0,1125.0,1695.0,5600.0
"Roncesvalles",86.0,"N/A",14974.0,1.5,5490.0,46883.0,600.0,510.0,2595.0
"High Park-Swansea",87.0,"N/A",23925.0,5.3,10665.0,62128.0,865.0,505.0,3260.0
"High Park North",88.0,"N/A",22162.0,1.9,10125.0,52827.0,970.0,1240.0,4045.0
"Runnymede-Bloor West Village",89.0,"N/A",10070.0,1.6,4165.0,74729.0,295.0,170.0,805.0
"Junction Area",90.0,"N/A",14366.0,2.6,5110.0,53804.0,500.0,345.0,1960.0
"Weston-Pellam Park",91.0,"N/A",11098.0,1.5,1610.0,48206.0,505.0,370.0,1300.0
"Corso Italia-Davenport",92.0,"N/A",14133.0,1.9,3285.0,56345.0,600.0,560.0,1765.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,3.7,10775.0,50741.0,1610.0,1330.0,5690.0
"Wychwood",94.0,"N/A",14349.0,1.7,4775.0,50261.0,410.0,315.0,2095.0
"Annex",95.0,"N/A",30526.0,2.8,16590.0,49912.0,1250.0,975.0,6445.0
"Casa Loma",96.0,"N/A",10968.0,1.9,5920.0,65574.0,425.0,285.0,1980.0
"Yonge-St.Clair",97.0,"N/A",12528.0,1.2,6775.0,58838.0,455.0,670.0,2535.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,4.6,11425.0,72915.0,695.0,750.0,3075.0
"Mount Pleasant East",99.0,"N/A",16775.0,3.1,7970.0,71154.0,670.0,635.0,2185.0
"Yonge-Eglinton",100.0,"N/A",11817.0,1.6,6255.0,63267.0,505.0,600.0,1925.0
"Forest Hill South",101.0,"N/A",10732.0,2.5,5575.0,67446.0,340.0,465.0,1650.0
"Forest Hill North",102.0,"N/A",12806.0,1.6,5320.0,53978.0,560.0,1140.0,1945.0
"Lawrence Park South",103.0,"N/A",15179.0,3.2,7880.0,105043.0,625.0,475.0,1315.0
"Mount Pleasant West",104.0,"N/A",29658.0,1.3,14915.0,48066.0,1330.0,2580.0,7290.0
"Lawrence Park North",105.0,"N/A",14607.0,2.3,7000.0,103660.0,505.0,345.0,1215.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,1.9,6060.0,49252.0,630.0,775.0,2340.0
"Oakwood Village",107.0,"N/A",21210.0,2.2,5080.0,46349.0,800.0,1455.0,3190.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,1.8,3405.0,48395.0,725.0,1425.0,1960.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,1.5,1160.0,51225.0,400.0,685.0,1100.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,1.7,1105.0,45058.0,485.0,700.0,1510.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,5.1,2700.0,46154.0,1030.0,1040.0,3185.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,1.8,610.0,37540.0,355.0,360.0,945.0
"Weston",113.0,"N/A",17992.0,2.6,2395.0,41356.0,965.0,1465.0,3250.0
"Lambton Baby Point",114.0,"N/A",7985.0,1.7,2950.0,58158.0,320.0,245.0,725.0
"Mount Dennis",115.0,"N/A",13593.0,2.1,1650.0,43790.0,745.0,905.0,2125.0
"Steeles",116.0,"N/A",24623.0,4.6,5810.0,55755.0,1045.0,1810.0,2915.0
"L'Amoreaux",117.0,"N/A",43993.0,7.1,9780.0,49769.0,2300.0,3965.0,5700.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,5.5,6895.0,46095.0,1175.0,2435.0,3820.0
"Wexford/Maryvale",119.0,"N/A",27917.0,10.2,5305.0,53752.0,1285.0,1970.0,3325.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,7.4,5755.0,53716.0,1240.0,1820.0,3175.0
